Acarapisosis of honey bees
African horse sickness
African swine fever
Akabane Disease
American foulbrood of honey bees
Anthrax
Arena virus
Aujeszky's disease
Avian chlamydiosis
Avian infectious bronchitis
Avian infectious laryngotracheitis
Avian mycoplasmosis (M. gallisepticum)
Avian mycoplasmosis (M. synoviae)
Blackleg
Bluetongue
Botulism
Bovine anaplasmosis
Bovine babesiosis
Bovine genital campylobacteriosis
Bovine spongiform encephalopathy
Bovine tuberculosis
Bovine viral diarrhoea
Brucellosis
Brucellosis (Brucella abortus)
Brucellosis (Brucella melitensis)
Brucellosis (Brucella suis)
Camelpox
Caprine arthritis/encephalitis
Classical swine fever
Contagious agalactia
Contagious bovine pleuropneumonia
Contagious caprine pleuropneumonia
Contagious equine metritis
COVID-19 (SARS-COV-2)
Crimean Congo haemorrhagic fever
Dourine
Duck virus enteritis
Duck virus hepatitis
Eastern equine encephalomyelitis
Ebola Virus
Ebola-Reston
Echinococcosis/hydatidosis
Enzootic abortion of ewes (ovine chlamydiosis)
Enzootic bovine leukosis
Epizootic haemorrhagic disease
Epizootic ulcerative syndrome
Equine encephalomyelitis (Eastern)
Equine encephalomyelitis (Western)
Equine infectious anaemia
Equine piroplasmosis
Equine rhinopneumonitis
Equine viral arteritis
European foulbrood of honey bees
Foot and mouth disease
Fowl cholera
Fowl typhoid
Glanders
Haemorrhagic Septicaemia
Heartwater
Hendra Virus Disease
Infectious bovine rhinotracheitis
Influenza - Avian
Influenza - Equine
Influenza - Swine
Japanese Encephalitis
Kunjin virus
Leishmaniosis
Leptospirosis
Lumpy skin disease
Maedi-visna
Malignant catarrhal fever
Marburg Hemorrhagic Fever
Marek's disease
MERS-CoV
Monkey Pox
Myxomatosis
New world screwworm (Cochliomyia hominivorax)
Newcastle disease
Nipah virus encephalitis
Old world screwworm (Chrysomya bezziana),zzz
Other bacterial diseases
Paratuberculosis
Peste des petits ruminants
Porcine cysticercosis
Porcine epidemic diarrhea
Porcine reproductive and respiratory syndrome
Pullorum disease
Q fever
Rabbit haemorrhagic disease
Rabies
Rift Valley fever
Salmonellosis (S. abortusovis)
Schmallenberg
Scrapie
Sheep pox and goat pox
Small hive beetle infestation (Aethina tumida)
Starvation
Strangles
Surra (Trypanosoma evansi)
Swine Novel Enteric Corona Virus disease
Swine vesicular disease
Teschovirus encephalomyelitis
Theileriosis
Transmissible gastroenteritis
Trypanosomosis (tsetse-transmitted)
Tuberculosis
Tularemia
Unknown disease
Varroosis of honey bees
Venezuelan equine encephalomyelitis
Vesicular stomatitis
West Nile Fever
